X92,Y92,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII
611232.2,223264.2,26,24,40,103,105,156,180,121,37,107,16,42
645299.3,248174.9,23,10,41,75,87,122,87,61,24,88,17,33
569539.6,205888.5,46,38,49,110,76,205,137,168,55,112,28,75
572040.4,198510.4,65,42,53,113,93,144,186,131,42,93,32,86
631586.5,223723.9,26,21,42,96,96,120,145,92,26,83,11,44
634902.1,186737.3,31,22,35,118,126,204,150,53,55,61,14,59
593272,222922.6,13,23,40,105,79,196,193,129,31,131,14,36
590542.3,170995.6,34,24,49,70,83,129,169,142,26,72,14,65
604727.7,187925.7,12,17,40,86,118,129,166,67,30,64,13,45
656351.1,237363.9,27,13,48,88,131,153,106,69,12,102,16,48
581941.1,180123.4,41,18,52,57,111,135,187,105,52,120,18,58
648859,205637.5,17,13,34,67,91,154,142,57,33,72,12,40
581090.6,156025.8,56,48,62,95,142,202,230,146,82,91,40,60
549104.2,207516.5,43,32,51,83,106,191,181,145,29,94,24,55
526118.9,242554.5,33,16,93,61,54,169,248,75,37,108,36,37
573344.9,278200,22,13,49,61,63,122,120,59,67,86,19,21
592833.9,178445.4,31,17,38,64,97,144,157,80,27,67,13,58
578772.4,148581.5,62,36,136,126,192,263,332,188,84,123,49,97
578027.3,200446.1,34,24,31,102,79,106,167,143,61,83,21,42
636616.6,166393.1,28,16,34,75,116,150,138,63,55,61,10,55
649825.4,170445.6,25,27,30,64,78,92,70,65,52,60,11,65
560669.4,246541.1,16,17,70,41,76,162,72,48,38,79,18,37
571417.5,154038.8,43,30,54,79,146,256,274,213,83,74,35,68
578107.4,194889,43,32,44,96,93,140,162,131,33,82,28,68
542714.6,255630.4,31,16,68,54,51,129,163,51,44,93,23,40
566455,163239.2,43,30,49,103,115,223,225,134,42,79,29,64
595831.5,213702.6,24,30,39,74,88,165,202,144,42,89,14,38
622637.4,195713.1,20,19,26,84,99,123,156,41,48,56,10,45
574700.2,180019.3,50,23,66,78,122,130,158,103,56,89,18,67
605136.7,228700.9,25,26,51,105,97,182,154,185,39,125,18,42
569777.8,187364.7,41,25,48,62,110,136,187,147,30,84,19,44
596324.4,185917.4,39,28,53,91,133,164,213,92,43,91,19,79
589121.3,183941.8,38,19,44,81,120,123,169,85,21,77,13,65
559332.6,259495.6,27,16,62,56,58,126,107,65,52,82,22,45
608424.4,243591.8,9,13,33,48,62,126,114,121,34,75,12,25
636622.8,260921.1,18,9,41,59,110,120,88,129,26,99,14,27
543797.3,268608.2,32,12,56,44,52,104,155,46,50,81,23,30
519001.3,231408.9,38,30,95,59,68,177,160,116,11,105,42,49
553962.5,202005.1,44,40,60,84,116,236,184,160,44,105,31,59
677455.6,176834.4,33,20,46,71,97,110,106,67,43,106,17,74
623097.5,175338.2,26,26,43,97,87,123,150,85,63,69,12,55
552887,189026.6,37,33,77,76,63,183,176,146,40,120,37,74
556886.1,152016.5,48,38,88,134,148,190,222,207,75,82,46,89
577169.3,259724.9,11,9,52,48,49,141,126,72,24,94,18,18
533426.2,218511.7,45,37,81,96,85,169,223,91,39,135,40,60
515458.2,216577.4,45,39,94,89,53,164,199,106,71,111,36,67
574928.5,163348.6,30,29,46,94,111,159,193,134,45,110,23,39
586473,198721.6,50,40,44,106,106,138,262,117,44,116,30,77
577303.8,250462.2,19,11,46,44,67,138,128,68,33,93,18,34
549784.8,263102.9,31,16,81,63,84,143,166,61,55,108,29,40
613356.5,178833.4,35,30,57,86,186,,230,140,65,86,18,97
588969.5,193203.5,54,35,38,93,89,116,126,106,38,106,17,49
635922.1,194176.3,21,21,31,100,106,149,147,44,51,72,9,41
563730.1,189143,40,24,52,75,115,135,183,142,36,85,22,58
569682.6,194774.2,42,44,43,70,85,133,194,144,39,93,19,57
587656.5,272859,15,9,23,45,48,145,93,50,36,95,20,18
645982,266731.4,23,7,29,61,66,87,87,75,22,90,18,13
588967.1,265468.5,11,13,35,43,35,114,62,73,54,77,14,23
558467.5,229841.9,25,24,59,78,73,171,152,76,34,94,23,42
661203.1,194868.3,26,20,40,88,130,233,118,77,32,85,12,47
604191.5,215710.8,23,23,37,66,71,116,182,102,36,89,13,35
579932.3,152303.4,44,44,93,106,167,245,258,165,64,82,33,82
535933.7,201855.1,48,34,82,83,81,291,203,135,70,105,37,81
621060.3,212356.9,20,21,49,108,109,,,,,,,
552832.9,194583.7,41,32,59,86,60,171,148,113,28,89,24,64
566184.8,185467,43,27,68,83,112,134,170,155,30,76,23,69
569253,228117.7,20,21,30,68,46,116,156,147,33,79,21,42
560479.5,263214.1,28,19,73,54,101,127,126,82,37,106,23,41
545549.1,201927.6,51,42,69,87,96,169,161,121,38,99,27,64
581925.7,259796.1,12,11,44,42,46,133,110,97,21,79,15,12
591055.3,282181.9,10,9,43,54,55,136,84,95,56,77,17,32
597197.5,204462.3,21,26,30,69,77,171,202,110,23,76,15,36
545330,227862.1,27,25,50,58,50,196,158,87,107,83,29,40
619189.5,188223.5,13,20,31,76,138,138,192,96,34,52,9,36
567022.2,215120.2,43,35,53,89,77,172,175,139,34,79,28,57
589182,180237.1,40,31,63,73,188,173,210,107,51,100,22,68
541900.1,207455.7,48,45,81,91,135,186,207,142,48,95,29,74
574801.7,172610.1,39,22,48,61,91,127,247,82,37,80,14,71
608601.4,175030.6,35,25,52,80,114,119,175,90,46,64,11,81
